Pseudhipparion, Pseudhipparion simpsoni, 7.6000000000000005, 7.6000000000000005
Pseudhipparion, Pseudhipparion skinneri, 7.6000000000000005, 14.1815
Scaphohippus, Scaphohippus intermontanus, 14.1815, 18.2
Scaphohippus, Scaphohippus sumani, 14.1815, 18.2
Sifrhippus, Sifrhippus grangeri, 52.2, 53.05
Sifrhippus, Sifrhippus sandrae, 51.9, 53.05
Sinohippus, Sinohippus sampelayoi, 9.2, 10.533000000000001
Sinohippus, Sinohippus zitteli, 3.9605, 4.4665
Xenicohippus, Xenicohippus craspedotum, 48.25, 53.05
Xenicohippus, Xenicohippus grangeri, 53.05, 53.05
Xenicohippus, Xenicohippus osborni, 53.05, 53.05
